tanggal,pm_duakomalima
2023-04-05,86.0
2023-04-06,85.0
2023-04-07,72.0
2023-04-08,95.0
2023-04-09,99.0
2023-04-10,57.0
2023-04-11,51.0
2023-04-12,55.0
2023-04-13,60.0
2023-04-14,70.0
2023-04-15,94.0
2023-04-16,82.0
2023-04-17,72.0
2023-04-18,86.0
2023-04-19,88.0
2023-04-20,85.0
2023-04-21,78.0
2023-04-22,79.0
2023-04-23,78.0
2023-04-24,76.0
2023-04-25,64.0
2023-04-26,80.0
2023-04-27,83.0
2023-04-28,81.0
2023-04-29,98.0
2023-04-30,104.0
2023-05-01,80.0
2023-05-02,113.0
2023-05-03,92.0
2023-05-04,62.0
2023-05-05,82.0
2023-05-06,71.0
2023-05-07,107.0
2023-05-08,88.0
2023-05-09,86.0
2023-05-10,123.0
2023-05-11,109.0
2023-05-12,59.0
2023-05-13,89.0
2023-05-14,78.0
2023-05-15,102.0
2023-05-16,104.0
2023-05-17,114.0
2023-05-18,113.0
2023-05-19,114.0
2023-05-20,119.0
2023-05-21,118.0
2023-05-22,97.0
2023-05-23,115.0
2023-05-24,170.0
2023-05-25,136.0
2023-05-26,135.0
2023-05-27,139.0
2023-05-28,115.0
2023-05-29,126.0
2023-05-30,128.0
2023-05-31,110.0
2023-06-01,111.0
2023-06-02,136.0
2023-06-03,116.0
2023-06-04,117.0
2023-06-05,105.0
2023-06-06,105.0
2023-06-07,102.0
2023-06-08,118.0
2023-06-09,115.0
2023-06-10,106.0
2023-06-11,116.0
2023-06-12,113.0
2023-06-13,133.0
2023-06-14,102.0
2023-06-15,121.0
2023-06-16,108.0
2023-06-17,85.0
2023-06-18,112.0
2023-06-19,83.0
2023-06-20,102.0
2023-06-21,108.0
2023-06-22,119.0
2023-06-23,98.0
2023-06-24,92.0
2023-06-25,104.0
2023-06-26,93.0
2023-06-27,113.0
2023-06-28,84.0
2023-06-29,64.0
2023-06-30,77.0
2023-07-01,98.0
2023-07-02,83.0
2023-07-03,97.0
2023-07-04,88.0
2023-07-05,119.0
2023-07-06,113.0
2023-07-07,107.0
2023-07-08,98.0
2023-07-09,92.0
2023-07-10,84.0
2023-07-11,151.0
2023-07-12,136.0
2023-07-13,120.0
2023-07-14,104.0
2023-07-15,90.0
2023-07-16,101.0
2023-07-17,97.0
2023-07-18,114.0
2023-07-19,130.0
2023-07-20,110.0
2023-07-21,112.0
2023-07-22,125.0
2023-07-23,146.0
2023-07-24,104.0
2023-07-25,117.0
2023-07-26,124.0
2023-07-27,129.0
2023-07-28,129.0
2023-07-29,117.0
2023-07-30,129.0
